China,Sep2019,20
China,Oct2019,0
China,Nov2019,12
China,Dec2019,0
China,Jan2020,7
China,Feb2020,8
China,Mar2020,33
China,Apr2020,0
China,May2020,0
China,Jun2020,17
China,Jul2020,41
China,Aug2020,55
China,Sep2020,79
China,Oct2020,16
Chinese Taipei,Aug2019,0
Chinese Taipei,Sep2019,0
Chinese Taipei,Oct2019,0
Chinese Taipei,Nov2019,0
Chinese Taipei,Dec2019,0
Chinese Taipei,Jan2020,0
Chinese Taipei,Feb2020,0
Chinese Taipei,Mar2020,0
Chinese Taipei,Apr2020,0
Chinese Taipei,May2020,0
Chinese Taipei,Jun2020,0
Chinese Taipei,Jul2020,0
Chinese Taipei,Aug2020,0
Chinese Taipei,Sep2020,0
Chinese Taipei,Oct2020,0
